1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,0.009999833,0.010806046,0.077870386,0.848426161,0.5,0.52552073,0.552097874,0.582270706,0.631398213,0.675907194,0.654006495,0.699445825,0.65015579,0.68776889,0.684463326,0.727542682,0.707884855,0.714543297,0.76433616,0.741876558,0.708112107,0.700063192,0.673467118,0.682653177,0.641664795,0.67479524,0.648184764,0.641867418,0.6057484,0.594644276,0.57960877,0.578202916,0.539124909,0.490683288,0.537206563,0.586560496,0.558349074,0.562018964,0.577229367,0.587272148,0.636802191,0.623793966,0.610994102,0.575077679,0.588216771,0.594371125,0.556689742,0.601032272,0.615183551,0.587188807,0.615548516,0.579592238,0.622782517,0.576297586,0.557809445,0.592476501,0.572587504,0.579921705
2,0.019998667,-0.008322937,-0.109251993,0.157997912,0.5,0.456103894,0.492045668,0.487549826,0.501079472,0.545204457,0.571815077,0.562972037,0.524791528,0.549647541,0.503453655,0.546330565,0.539300312,0.548070443,0.584207428,0.615091072,0.5911552,0.63109213,0.665943795,0.61649427,0.581660063,0.607984527,0.638402707,0.670353431,0.678102295,0.649897496,0.672731801,0.69467769,0.725132357,0.733821472,0.743789771,0.705697859,0.728418268,0.709906772,0.672538988,0.681096023,0.670420442,0.686220539,0.673056035,0.631436665,0.604405893,0.604606895,0.600170977,0.60874872,0.618815308,0.651182428,0.639164778,0.666766191,0.658544485,0.680147518,0.708574929,0.719066676,0.681773913,0.707847344
3,0.0299955,-0.01979985,-0.007127327,0.285575701,0.5,0.500282925,0.550103217,0.596094301,0.599669646,0.573864685,0.595073896,0.629660752,0.592574773,0.637240913,0.651372242,0.657150363,0.642797405,0.630913491,0.648827249,0.67948843,0.658157698,0.638672825,0.68095058,0.664286324,0.706006132,0.730175444,0.755503899,0.726499116,0.720458745,0.700275098,0.663608562,0.696037385,0.716550036,0.732664957,0.760768579,0.784685124,0.771522775,0.749669777,0.703574347,0.738577446,0.732623633,0.732748275,0.699148778,0.665622327,0.65854931,0.646553336,0.650675215,0.604431258,0.559681209,0.593465093,0.609053379,0.56310724,0.513590084,0.535446043,0.560811961,0.557322087,0.563247179,0.526721354
4,0.039989334,-0.013072872,0.057891064,0.435867461,0.5,0.522117773,0.549524442,0.541679785,0.589529182,0.587219762,0.633041251,0.632406546,0.63589544,0.632596737,0.639530896,0.667175307,0.654603414,0.633100823,0.65903722,0.633904642,0.66927645,0.691811928,0.701824148,0.656503781,0.633234835,0.657451236,0.675100215,0.646944296,0.612335145,0.619619074,0.616091221,0.597756645,0.583852809,0.619567288,0.63805446,0.644999272,0.677894195,0.722685139,0.746212618,0.785753586,0.738016042,0.756149745,0.765444157,0.735156207,0.718085049,0.761809486,0.793078229,0.809378377,0.770347388,0.756247692,0.798329851,0.783581371,0.752450946,0.76546262,0.779509882,0.824746691,0.77495754,0.811121419
5,0.049979169,0.005673244,-0.16902575,0.523830971,0.5,0.452485613,0.438758125,0.427049741,0.469194964,0.466166174,0.463866539,0.498032163,0.521571948,0.529302923,0.543429917,0.555832505,0.582007762,0.539009906,0.564242323,0.574099557,0.581661067,0.615595103,0.66554495,0.634825522,0.585056541,0.562834004,0.558225242,0.52745487,0.52969667,0.531646441,0.49068534,0.507917725,0.467287045,0.485650481,0.51854123,0.530236357,0.515356721,0.47816972,0.430982,0.430565209,0.45404508,0.500449196,0.496132785,0.476880121,0.471049798,0.428973553,0.46410843,0.500275548,0.533768314,0.535948096,0.541056358,0.552871384,0.59190496,0.629628902,0.583334657,0.605104745,0.568815974,0.596186614
6,0.059964006,0.019203406,-0.01455031,0.946853395,0.5,0.454856519,0.460119274,0.451316686,0.421043665,0.464299205,0.476776245,0.48195728,0.464691774,0.45397913,0.442051529,0.427350106,0.399476215,0.431678094,0.451194962,0.413943808,0.371133915,0.321718799,0.343894737,0.366629851,0.382372044,0.416761759,0.458589062,0.489824911,0.523904286,0.497223534,0.449772957,0.458767791,0.426841675,0.437571784,0.478709873,0.439698845,0.415833462,0.44441415,0.432808229,0.393893658,0.369105829,0.395228085,0.440062713,0.392641742,0.406419934,0.397371122,0.385390868,0.346744546,0.362440348,0.344081159,0.333049217,0.339073023,0.307363756,0.341362543,0.387432678,0.369697634,0.338337958,0.367576701
7,0.069942847,0.015078045,0.043572399,0.10194378,0.5,0.459938965,0.49116241,0.522089122,0.497721507,0.53022867,0.48732955,0.513049267,0.531521178,0.532769273,0.483373814,0.501829026,0.5275145,0.478314121,0.481495199,0.448522895,0.406037089,0.430871688,0.396489847,0.405988435,0.405051539,0.447447069,0.47397068,0.456870361,0.437864104,0.440156957,0.468370909,0.429009669,0.458349595,0.481206932,0.476008598,0.51532608,0.509644313,0.468115314,0.515179932,0.47236775,0.438038332,0.404977126,0.396726637,0.375754908,0.369180627,0.357573318,0.361354416,0.340397527,0.30297351,0.33460465,0.38265237,0.370083858,0.384720376,0.350036691,0.394921603,0.402602958,0.414245617,0.382602944
8,0.079914694,-0.002910001,-0.339985573,0.280467308,0.5,0.546779584,0.504981047,0.496452913,0.523363989,0.474202356,0.452254945,0.471389485,0.425220062,0.381189379,0.385640809,0.395153636,0.425071866,0.432468199,0.448411879,0.409785696,0.458342698,0.508086191,0.511790379,0.473738924,0.487351671,0.526899111,0.56398534,0.557486534,0.582891924,0.546065219,0.520788791,0.520174828,0.499853935,0.480266472,0.525094191,0.541441811,0.535305536,0.53619856,0.540750775,0.505430264,0.544681997,0.573725886,0.539440441,0.586419412,0.546008874,0.594482202,0.606732081,0.655992283,0.688337718,0.690706734,0.675405627,0.667571712,0.647872712,0.631094242,0.60837448,0.626979206,0.604259154,0.558827751
9,0.089878549,-0.018222605,-0.022615783,0.578881974,0.5,0.492859818,0.452606666,0.452097083,0.457027207,0.468148891,0.442604105,0.437789938,0.401064196,0.394745343,0.410846389,0.437397155,0.41343733,0.383230427,0.350285973,0.32164877,0.330206663,0.310196467,0.317750488,0.276035018,0.233869672,0.185538531,0.229613412,0.226583961,0.237677219,0.263497374,0.224165379,0.271160892,0.298156645,0.317106374,0.345775113,0.327963353,0.300978989,0.290848548,0.255582804,0.227597052,0.23656454,0.197773645,0.19034053,0.191890578,0.181110024,0.138590985,0.127095807,0.113408354,0.072511847,0.033416958,0.063870186,0.036626302,0.08224955,0.097722535,0.097685647,0.122647835,0.157836263,0.162132168
10,0.099833417,-0.016781431,0.032418041,0.364428143,0.5,0.474529738,0.485648008,0.44006996,0.450035374,0.40274385,0.418603902,0.44868954,0.451147673,0.42260413,0.441310939,0.465755527,0.449480551,0.457541895,0.479833342,0.432802784,0.451734818,0.445745899,0.45955374,0.497401987,0.470246125,0.421610805,0.459329915,0.471342548,0.509503443,0.505218307,0.501849408,0.541915117,0.577015035,0.562226457,0.557326089,0.52680922,0.503600352,0.534475667,0.533371958,0.519576111,0.518980536,0.53628534,0.54050666,0.582058002,0.564412257,0.556884569,0.524965084,0.525523926,0.527318233,0.572162868,0.549855418,0.555578721,0.546996399,0.506614225,0.49315906,0.480142236,0.481153141,0.435797953
